miRNA	Gene	Input
hsa-miR-519d-3p	ZNF800	-1
hsa-miR-519d-3p	MFSD8	-1
hsa-miR-939-3p	NALF2	-1
hsa-miR-939-3p	SUSD6	-1
hsa-miR-939-3p	BTRC	-1
hsa-miR-939-3p	ELMO2	-1
hsa-miR-939-3p	TBC1D13	-1
hsa-miR-939-3p	SLC26A9	-1
hsa-miR-939-3p	TBC1D16	-1
hsa-miR-939-3p	PRCC	-1
hsa-miR-939-3p	OXSR1	-1
hsa-miR-939-3p	H6PD	-1
hsa-miR-939-3p	VWA1	-1
hsa-miR-6754-3p	TC2N	-1
hsa-miR-6754-3p	ZNF676	-1
hsa-miR-6754-3p	LHFPL2	-1
hsa-miR-6754-3p	RNF165	-1
hsa-miR-6754-3p	ZNF486	-1
hsa-miR-6754-3p	ZNF99	-1
hsa-miR-6754-3p	CXADR	-1
hsa-miR-6754-3p	TAB2	-1
hsa-miR-4699-3p	FBXO3	-1
hsa-miR-4699-3p	RSBN1L	-1
hsa-miR-4699-3p	CGGBP1	-1
hsa-miR-4699-3p	RHOT1	-1
hsa-miR-4699-3p	TRPS1	-1
hsa-miR-4699-3p	ETNK1	-1
hsa-miR-4699-3p	KCNJ4	-1
hsa-miR-4699-3p	KCNA2	-1
hsa-miR-4699-3p	HCN1	-1
hsa-miR-4699-3p	BRD2	-1
hsa-miR-4699-3p	TRIM33	-1
hsa-miR-4699-3p	RABGEF1	-1
hsa-miR-4699-3p	PRR16	-1
hsa-miR-4699-3p	EDEM3	-1
hsa-miR-4699-3p	NCOA3	-1
hsa-miR-4699-3p	SNTG1	-1
hsa-miR-4699-3p	NHS	-1
hsa-miR-4699-3p	NAP1L3	-1
hsa-miR-4699-3p	ARHGAP23	-1
hsa-miR-4699-3p	SLC31A2	-1
hsa-miR-4699-3p	OCLN	-1
hsa-miR-4699-3p	FAM135B	-1
hsa-miR-4699-3p	RASA1	-1
hsa-miR-4699-3p	KIF1B	-1
hsa-miR-4699-3p	ABHD10	-1
hsa-miR-4699-3p	AP3M1	-1
hsa-miR-4699-3p	HOOK1	-1
hsa-miR-4699-3p	PLPPR4	-1
hsa-miR-4699-3p	IGFBP3	-1
hsa-miR-4699-3p	IYD	-1
hsa-miR-4699-3p	GNAQ	-1
hsa-miR-4699-3p	NEGR1	-1
hsa-miR-4699-3p	INTS2	-1
hsa-miR-4699-3p	ZNF492	-1
hsa-miR-4699-3p	PTPRB	-1
hsa-miR-4699-3p	WAPL	-1
hsa-miR-4699-3p	SYT15	-1
hsa-miR-4699-3p	NEFL	-1
hsa-miR-4699-3p	HTR2C	-1
hsa-miR-4699-3p	STARD13	-1
hsa-miR-4699-3p	MAP3K2	-1
hsa-miR-4699-3p	NF1	-1
hsa-miR-4699-3p	FAM3C	-1
hsa-miR-4699-3p	GOLPH3	-1
hsa-miR-4699-3p	MKRN3	-1
hsa-miR-4699-3p	C2orf49	-1
hsa-miR-4699-3p	MEX3C	-1
hsa-miR-4699-3p	MTSS1	-1
hsa-miR-4699-3p	ARHGAP18	-1
hsa-miR-4699-3p	FMNL2	-1
hsa-miR-4699-3p	TBK1	-1
hsa-miR-4699-3p	SLC1A1	-1
hsa-miR-4699-3p	KIF18A	-1
hsa-miR-4699-3p	IFIT5	-1
hsa-miR-4699-3p	DENND5B	-1
hsa-miR-4699-3p	VEZF1	-1
hsa-miR-4699-3p	DUSP6	-1
hsa-miR-4699-3p	USP42	-1
hsa-miR-4699-3p	MIA2	-1
hsa-miR-4699-3p	UBR3	-1
hsa-miR-4699-3p	PXDC1	-1
hsa-miR-4699-3p	GABARAPL2	-1
hsa-miR-4699-3p	PTPN4	-1
hsa-miR-4699-3p	ELAVL2	-1
hsa-miR-4699-3p	IRX2	-1
hsa-miR-4699-3p	PTPRM	-1
hsa-miR-4699-3p	ARID2	-1
hsa-miR-4699-3p	SCAI	-1
hsa-miR-4699-3p	ATRN	-1
hsa-miR-4699-3p	NPAT	-1
hsa-miR-4699-3p	LSM14A	-1
hsa-miR-493-3p	KDM2B	-1
hsa-miR-493-3p	FOXP2	-1
hsa-miR-493-3p	ETF1	-1
hsa-miR-493-3p	DPY30	-1
hsa-miR-493-3p	NCKAP1L	-1
hsa-miR-493-3p	IRAG1	-1
hsa-miR-6742-5p	ERF	-1
hsa-miR-6742-5p	ADD1	-1
hsa-miR-6742-5p	PTK7	-1
hsa-miR-6742-5p	TRNP1	-1
hsa-miR-6742-5p	C5orf51	-1
hsa-miR-6501-3p	SULT2A1	-1
hsa-miR-6501-3p	TMEM168	-1
hsa-miR-6501-3p	GALE	-1
hsa-miR-6501-3p	PTPRE	-1
hsa-miR-6501-3p	GIPC3	-1
hsa-miR-6501-3p	TRIO	-1
hsa-miR-6501-3p	DCAF7	-1
hsa-miR-6501-3p	N4BP2	-1
hsa-miR-6501-3p	PRKG1	-1
hsa-miR-6501-3p	DIRAS2	-1
hsa-miR-6501-3p	ASPHD2	-1
hsa-miR-6501-3p	ZFR	-1
hsa-miR-6501-3p	SORT1	-1
hsa-miR-181a-2-3p	NETO2	-1
hsa-miR-181a-2-3p	FLI1	-1
hsa-miR-181a-2-3p	ZBTB20	-1
hsa-miR-181a-2-3p	ARID4A	-1
hsa-miR-181a-2-3p	SOX6	-1
hsa-miR-181a-2-3p	RNF135	-1
hsa-miR-181a-2-3p	BLOC1S5	-1
hsa-miR-181a-2-3p	NAMPT	-1
hsa-miR-181a-2-3p	DAZL	-1
hsa-miR-181a-2-3p	SORBS1	-1
hsa-miR-181a-2-3p	DAZ2	-1
hsa-miR-181a-2-3p	ARID2	-1
hsa-miR-181a-2-3p	ACVR2B	-1
hsa-miR-181a-2-3p	PELI2	-1
hsa-miR-4446-5p	HTR2A	-1
hsa-miR-4446-5p	NBR1	-1
hsa-miR-4446-5p	PIAS1	-1
hsa-miR-4446-5p	SPOP	-1
hsa-miR-4446-5p	GUCY1A2	-1
hsa-miR-4446-5p	SPRY3	-1
hsa-miR-4446-5p	ATP10B	-1
hsa-miR-4446-5p	MACROH2A1	-1
hsa-miR-4446-5p	MLLT3	-1
hsa-miR-4446-5p	GID8	-1
hsa-miR-4446-5p	LPP	-1
hsa-miR-4446-5p	ATL2	-1
hsa-miR-4446-5p	ZNF704	-1
hsa-miR-4446-5p	TCF12	-1
hsa-miR-4446-5p	SKI	-1
hsa-miR-4446-5p	KPNB1	-1
hsa-miR-4446-5p	SLC37A3	-1
hsa-miR-4446-5p	C14orf28	-1
hsa-miR-4446-5p	C9orf57	-1
hsa-miR-4446-5p	DIPK2A	-1
hsa-miR-4446-5p	MAP1B	-1
hsa-miR-4446-5p	BCL2L2	-1
hsa-miR-4446-5p	MAP3K2	-1
hsa-miR-4446-5p	ZBTB7C	-1
hsa-miR-4446-5p	PTPRT	-1
hsa-miR-4446-5p	SOX14	-1
hsa-miR-4446-5p	ONECUT2	-1
hsa-miR-4446-5p	YPEL4	-1
hsa-miR-4446-5p	BPNT2	-1
hsa-miR-4446-5p	FGFR2	-1
hsa-miR-4446-5p	GTF3C3	-1
hsa-miR-4446-5p	MAPRE2	-1
hsa-miR-4446-5p	MTCH2	-1
hsa-miR-4687-5p	SEC14L1	-1
hsa-miR-4687-5p	BDKRB2	-1
hsa-miR-4687-5p	ZC3H7B	-1
hsa-miR-4687-5p	SEC63	-1
hsa-miR-4687-5p	TLCD5	-1
hsa-miR-548ay-5p	ADAM22	-1
hsa-miR-548ay-5p	PRRC1	-1
hsa-miR-548ay-5p	SNX16	-1
hsa-miR-548ay-5p	BMT2	-1
hsa-miR-548ay-5p	MAGT1	-1
hsa-miR-548ay-5p	FBXL3	-1
hsa-miR-548ay-5p	EPHA3	-1
hsa-miR-548ay-5p	PPP1R9A	-1
hsa-miR-548ay-5p	GPATCH11	-1
hsa-miR-548ay-5p	DNAJB14	-1
hsa-miR-548ay-5p	PPARG	-1
hsa-miR-548ay-5p	CCNY	-1
hsa-miR-548ay-5p	ZNF608	-1
hsa-miR-548ay-5p	RALA	-1
hsa-miR-548ay-5p	C6orf120	-1
hsa-miR-548ay-5p	NFKB1	-1
hsa-miR-548ay-5p	AIDA	-1
hsa-miR-548ay-5p	STXBP5	-1
hsa-miR-548ay-5p	SLC30A5	-1
hsa-miR-548ay-5p	RORA	-1
hsa-miR-548ay-5p	MEX3D	-1
hsa-miR-548ay-5p	UBE2A	-1
hsa-miR-548ay-5p	CEP120	-1
hsa-miR-548ay-5p	BTF3L4	-1
hsa-miR-548ay-5p	UNC80	-1
hsa-miR-548ay-5p	SPATA6L	-1
hsa-miR-548ay-5p	RC3H1	-1
hsa-miR-548ay-5p	NUP50	-1
hsa-miR-548ay-5p	IGF2BP3	-1
hsa-miR-548ay-5p	FAM135A	-1
hsa-miR-548ay-5p	ACTN4	-1
hsa-miR-548ay-5p	REV3L	-1
hsa-miR-548ay-5p	IKZF2	-1
hsa-miR-548ay-5p	GPR85	-1
hsa-miR-548ay-5p	PREX2	-1
hsa-miR-548ay-5p	B3GALT5	-1
hsa-miR-548ay-5p	CAPN2	-1
hsa-miR-548ay-5p	PTPRG	-1
hsa-miR-548ay-5p	TCF12	-1
hsa-miR-548ay-5p	MAML1	-1
hsa-miR-548ay-5p	ADGRB3	-1
hsa-miR-548ay-5p	NFAT5	-1
hsa-miR-548ay-5p	GOPC	-1
hsa-miR-548ay-5p	SACS	-1
hsa-miR-548ay-5p	RMND5A	-1
hsa-miR-548ay-5p	FZD7	-1
hsa-miR-548ay-5p	DEFA6	-1
hsa-miR-548ay-5p	DENND1B	-1
hsa-miR-548ay-5p	C5orf24	-1
hsa-miR-548ay-5p	NEGR1	-1
hsa-miR-548ay-5p	MIDEAS	-1
hsa-miR-548ay-5p	SCAMP1	-1
hsa-miR-548ay-5p	WDR26	-1
hsa-miR-548ay-5p	TMEM135	-1
hsa-miR-548ay-5p	FLRT3	-1
hsa-miR-548ay-5p	CNTN1	-1
hsa-miR-548ay-5p	GULP1	-1
hsa-miR-548ay-5p	ACAT2	-1
hsa-miR-548ay-5p	ZBTB44	-1
hsa-miR-548ay-5p	STYX	-1
hsa-miR-548ay-5p	MINDY2	-1
hsa-miR-548ay-5p	EDIL3	-1
hsa-miR-548ay-5p	CDK6	-1
hsa-miR-548ay-5p	LATS1	-1
hsa-miR-548ay-5p	FIGN	-1
hsa-miR-548ay-5p	ZEB2	-1
hsa-miR-548ay-5p	ZNF680	-1
hsa-miR-548ay-5p	ZDHHC21	-1
