TF	Gene	Input
ATF1	RP3-406P24.4	1
ATF1	C6orf52	1
ATF1	PAK1IP1	1
ATF1	SYCP2L	1
ATF1	HIVEP1	1
ATF1	JARID2-AS1	1
ATF1	JARID2	1
ATF1	RP11-500C11.3	1
ATF1	NUP153	1
ATF1	RNA5SP204	1
ATF1	RP4-625H18.2	1
ATF1	CDKAL1	1
ATF1	C6orf62	1
ATF1	U91328.22	1
ATF1	HIST1H1A	1
ATF1	HIST1H4A	1
ATF1	HIST1H4B	1
ATF1	HIST1H3B	1
ATF1	HIST1H2AB	1
ATF1	HIST1H2BB	1
ATF1	U91328.2	1
ATF1	HIST1H2BC	1
ATF1	HIST1H2AC	1
ATF1	HIST1H1PS1	1
ATF1	HIST1H3D	1
ATF1	HIST1H2AD	1
ATF1	HIST1H2BF	1
ATF1	RP1-34B20.4	1
ATF1	HIST1H4E	1
ATF1	HIST1H4H	1
ATF1	ABT1	1
ATF1	HIST1H2BK	1
ATF1	HIST1H2AH	1
ATF1	MIR3143	1
ATF1	ZNF184	1
ATF1	HIST1H2BL	1
ATF1	HIST1H2AI	1
ATF1	HIST1H3H	1
ATF1	HIST1H2AJ	1
ATF1	HIST1H2BM	1
ATF1	HIST1H4J	1
ATF1	HIST1H4K	1
ATF1	HIST1H2BN	1
ATF1	HIST1H2AK	1
ATF1	HIST1H2BPS2	1
ATF1	HIST1H2AL	1
ATF1	ZNF165	1
ATF1	RP1-313I6.12	1
ATF1	ZSCAN12P1	1
ATF1	HCG14	1
ATF1	ZNRD1-AS1	1
ATF1	ZNRD1	1
ATF1	ZNRD1-AS1_3	1
ATF1	PPP1R11	1
ATF1	RNF39	1
ATF1	TRIM26	1
ATF1	HLA-E	1
ATF1	XXbac-BPG249D20.9	1
ATF1	PPP1R10	1
ATF1	MRPS18B	1
ATF1	ATAT1	1
ATF1	MDC1	1
ATF1	HCG20	1
ATF1	ATP6V1G2-DDX39B	1
ATF1	ATP6V1G2	1
ATF1	NFKBIL1	1
ATF1	PRRC2A	1
ATF1	DDAH2	1
ATF1	CLIC1	1
ATF1	MSH5	1
ATF1	MSH5-SAPCD1	1
ATF1	VWA7	1
ATF1	VARS	1
ATF1	LSM2	1
ATF1	C2	1
ATF1	CFB	1
ATF1	NELFE	1
ATF1	SKIV2L	1
ATF1	STK19	1
ATF1	DXO	1
ATF1	C4A	1
ATF1	FKBPL	1
ATF1	GPSM3	1
ATF1	NOTCH4	1
ATF1	BRD2-IT1	1
ATF1	BRD2	1
ATF1	XXbac-BPG181M17.6	1
ATF1	MIR219A1	1
ATF1	RING1	1
ATF1	VPS52	1
ATF1	RPS18	1
ATF1	DAXX	1
ATF1	RPL35AP4	1
ATF1	KIFC1	1
ATF1	RPL12P1	1
ATF1	PHF1	1
ATF1	RP11-140K17.3	1
ATF1	C6orf106	1
ATF1	TAF11	1
ATF1	ANKS1A	1
ATF1	ZNF76	1
ATF1	PPARD	1
ATF1	C6orf222	1
