Pathway	Gene	Correlation
Hematopoietic cell lineage	CSF1R	1
Hematopoietic cell lineage	CSF2RA	1
Hematopoietic cell lineage	CSF3R	1
Hematopoietic cell lineage	CD8A	1
Hematopoietic cell lineage	HLA-DMA	1
Hematopoietic cell lineage	HLA-DMB	1
Hematopoietic cell lineage	HLA-DOA	1
Hematopoietic cell lineage	HLA-DPA1	1
Hematopoietic cell lineage	HLA-DPB1	1
Hematopoietic cell lineage	HLA-DQA1	1
Hematopoietic cell lineage	HLA-DQB1	1
Hematopoietic cell lineage	HLA-DRA	1
Hematopoietic cell lineage	HLA-DRB1	1
Hematopoietic cell lineage	HLA-DRB5	1
Complement and coagulation cascades	F10	1
Complement and coagulation cascades	FGG	1
Complement and coagulation cascades	F12	1
Complement and coagulation cascades	MASP1	1
Complement and coagulation cascades	MASP2	1
Complement and coagulation cascades	F2	1
Complement and coagulation cascades	CFH	1
Complement and coagulation cascades	CFHR1	1
Complement and coagulation cascades	F5	1
Complement and coagulation cascades	CFHR3	1
Complement and coagulation cascades	F7	1
Complement and coagulation cascades	CFI	1
Complement and coagulation cascades	KLKB1	1
Complement and coagulation cascades	SERPINC1	1
Complement and coagulation cascades	SERPIND1	1
Complement and coagulation cascades	SERPING1	1
Complement and coagulation cascades	C4B	1
Complement and coagulation cascades	C4BPB	1
Complement and coagulation cascades	CPB2	1
Complement and coagulation cascades	FGA	1
Complement and coagulation cascades	FGB	1
Complement and coagulation cascades	PROC	1
Complement and coagulation cascades	PROS1	1
Complement and coagulation cascades	C8G	1
Neutrophil extracellular trap formation	AGER	1
Neutrophil extracellular trap formation	FGG	1
Neutrophil extracellular trap formation	HDAC7	1
Neutrophil extracellular trap formation	ACTB	1
Neutrophil extracellular trap formation	ACTG1	1
Neutrophil extracellular trap formation	RAC1	1
Neutrophil extracellular trap formation	CYBA	1
Neutrophil extracellular trap formation	VDAC2	1
Neutrophil extracellular trap formation	VDAC3	1
Neutrophil extracellular trap formation	SLC25A6	1
Neutrophil extracellular trap formation	MAPK3	1
Neutrophil extracellular trap formation	FGA	1
Neutrophil extracellular trap formation	FGB	1
Adrenergic signaling in cardiomyocytes	GNAS	1
Adrenergic signaling in cardiomyocytes	CREB3	1
Adrenergic signaling in cardiomyocytes	CREB3L3	1
Adrenergic signaling in cardiomyocytes	TPM2	1
Adrenergic signaling in cardiomyocytes	PPP2R1A	1
Adrenergic signaling in cardiomyocytes	PPP2R1B	1
Adrenergic signaling in cardiomyocytes	ATP1B3	1
Adrenergic signaling in cardiomyocytes	ATP2B2	1
Adrenergic signaling in cardiomyocytes	SLC9A1	1
Adrenergic signaling in cardiomyocytes	MAPK3	1
Adrenergic signaling in cardiomyocytes	PPP1CA	1
Serotonergic synapse	GNAS	1
Serotonergic synapse	CYP2C8	1
Serotonergic synapse	CYP2C9	1
Serotonergic synapse	CYP2D6	1
Serotonergic synapse	CYP2D7	1
Serotonergic synapse	CYP2J2	1
Serotonergic synapse	MAPK3	1
Osteoclast differentiation	CAMK4	1
Osteoclast differentiation	PIK3CD	1
Osteoclast differentiation	JUNB	1
Osteoclast differentiation	FCGR2A	1
Osteoclast differentiation	FCGR3A	1
Osteoclast differentiation	BTK	1
Osteoclast differentiation	LCK	1
Osteoclast differentiation	LCP2	1
Osteoclast differentiation	SOCS1	1
Osteoclast differentiation	ACP5	1
Osteoclast differentiation	SOCS3	1
Osteoclast differentiation	OSCAR	1
Osteoclast differentiation	LILRA5	1
Osteoclast differentiation	LILRA6	1
Osteoclast differentiation	LILRB1	1
Osteoclast differentiation	NCF1	1
Osteoclast differentiation	LILRB2	1
Osteoclast differentiation	NCF2	1
Osteoclast differentiation	LILRB3	1
Osteoclast differentiation	NCF4	1
Osteoclast differentiation	LILRB4	1
Osteoclast differentiation	CSF1	1
Osteoclast differentiation	CSF1R	1
Osteoclast differentiation	TYROBP	1
Osteoclast differentiation	SPI1	1
Osteoclast differentiation	FOSL1	1
Osteoclast differentiation	FOSL2	1
Osteoclast differentiation	SIRPA	1
Osteoclast differentiation	SYK	1
Thermogenesis	NDUFV3	1
Thermogenesis	CYC1	1
Thermogenesis	AKT1S1	1
Thermogenesis	COX6B1	1
Thermogenesis	UQCRFS1	1
Thermogenesis	UQCRH	1
Thermogenesis	COX8A	1
Thermogenesis	CPT1A	1
Thermogenesis	HRAS	1
Thermogenesis	NDUFA11	1
Thermogenesis	NDUFA13	1
Thermogenesis	NDUFA3	1
Thermogenesis	NDUFA8	1
Thermogenesis	NDUFA9	1
Thermogenesis	NDUFAF2	1
Thermogenesis	NDUFAF4	1
Thermogenesis	NDUFAF5	1
Thermogenesis	NDUFB11	1
Thermogenesis	NDUFB3	1
Thermogenesis	NDUFB4	1
Thermogenesis	SIRT6	1
Thermogenesis	NDUFS3	1
Thermogenesis	COA4	1
Thermogenesis	NDUFS5	1
Thermogenesis	COA6	1
Thermogenesis	NDUFS6	1
Thermogenesis	NDUFS8	1
