Pathway	Gene	Correlation
PI3K-Akt signaling pathway	COL6A1	1
PI3K-Akt signaling pathway	COL6A2	1
PI3K-Akt signaling pathway	COL6A3	1
PI3K-Akt signaling pathway	OSMR	1
PI3K-Akt signaling pathway	TNXB	1
PI3K-Akt signaling pathway	ITGA11	1
PI3K-Akt signaling pathway	ITGA5	1
PI3K-Akt signaling pathway	ITGA7	1
PI3K-Akt signaling pathway	ITGB3	1
PI3K-Akt signaling pathway	ITGB5	1
PI3K-Akt signaling pathway	TEK	1
PI3K-Akt signaling pathway	VEGFB	1
PI3K-Akt signaling pathway	VEGFC	1
PI3K-Akt signaling pathway	CSF1	1
PI3K-Akt signaling pathway	CSF1R	1
PI3K-Akt signaling pathway	THBS2	1
PI3K-Akt signaling pathway	THBS3	1
PI3K-Akt signaling pathway	THBS4	1
PI3K-Akt signaling pathway	VWF	1
PI3K-Akt signaling pathway	PDGFA	1
PI3K-Akt signaling pathway	PDGFB	1
PI3K-Akt signaling pathway	PDGFRB	1
PI3K-Akt signaling pathway	NOS3	1
PI3K-Akt signaling pathway	AKT3	1
PI3K-Akt signaling pathway	GNG5	1
PI3K-Akt signaling pathway	PGF	1
PI3K-Akt signaling pathway	IGF1R	1
PI3K-Akt signaling pathway	FGFR1	1
PI3K-Akt signaling pathway	LAMA4	1
PI3K-Akt signaling pathway	LAMB2	1
PI3K-Akt signaling pathway	PIK3CD	1
PI3K-Akt signaling pathway	PIK3R5	1
PI3K-Akt signaling pathway	FLT4	1
PI3K-Akt signaling pathway	IL3RA	1
PI3K-Akt signaling pathway	IL4R	1
PI3K-Akt signaling pathway	FN1	1
PI3K-Akt signaling pathway	COL6A2	1
PI3K-Akt signaling pathway	COL6A3	1
PI3K-Akt signaling pathway	OSM	1
PI3K-Akt signaling pathway	OSMR	1
PI3K-Akt signaling pathway	SGK1	1
PI3K-Akt signaling pathway	ITGA4	1
PI3K-Akt signaling pathway	ITGA5	1
PI3K-Akt signaling pathway	ITGB7	1
PI3K-Akt signaling pathway	TEK	1
PI3K-Akt signaling pathway	JAK3	1
PI3K-Akt signaling pathway	VEGFC	1
PI3K-Akt signaling pathway	SPP1	1
PI3K-Akt signaling pathway	NFKB1	1
PI3K-Akt signaling pathway	CSF1	1
PI3K-Akt signaling pathway	CSF1R	1
PI3K-Akt signaling pathway	CSF3R	1
PI3K-Akt signaling pathway	PDGFRB	1
PI3K-Akt signaling pathway	TLR2	1
PI3K-Akt signaling pathway	GNB4	1
PI3K-Akt signaling pathway	GNB5	1
PI3K-Akt signaling pathway	GNG2	1
PI3K-Akt signaling pathway	GNG7	1
PI3K-Akt signaling pathway	GNGT2	1
PI3K-Akt signaling pathway	IFNAR2	1
PI3K-Akt signaling pathway	RELA	1
PI3K-Akt signaling pathway	LAMA1	1
PI3K-Akt signaling pathway	BCL2	1
PI3K-Akt signaling pathway	BCL2L11	1
PI3K-Akt signaling pathway	PIK3CD	1
PI3K-Akt signaling pathway	PIK3R5	1
PI3K-Akt signaling pathway	PIK3R6	1
PI3K-Akt signaling pathway	IL2RA	1
PI3K-Akt signaling pathway	IL2RB	1
PI3K-Akt signaling pathway	FLT3LG	1
PI3K-Akt signaling pathway	IL6R	1
PI3K-Akt signaling pathway	IL7R	1
Neuroactive ligand-receptor interaction	PTAFR	1
Neuroactive ligand-receptor interaction	FPR1	1
Neuroactive ligand-receptor interaction	FPR3	1
Neuroactive ligand-receptor interaction	PTGIR	1
Neuroactive ligand-receptor interaction	P2RX1	1
Neuroactive ligand-receptor interaction	P2RY6	1
Neuroactive ligand-receptor interaction	P2RY8	1
Neuroactive ligand-receptor interaction	S1PR1	1
Neuroactive ligand-receptor interaction	S1PR2	1
Neuroactive ligand-receptor interaction	S1PR4	1
Neuroactive ligand-receptor interaction	GRIN3A	1
Neuroactive ligand-receptor interaction	NR3C1	1
Neuroactive ligand-receptor interaction	C3	1
Neuroactive ligand-receptor interaction	C3AR1	1
Neuroactive ligand-receptor interaction	C5AR1	1
Cytokine-cytokine receptor interaction	CCR1	1
Cytokine-cytokine receptor interaction	CCR5	1
Cytokine-cytokine receptor interaction	TNFRSF13C	1
Cytokine-cytokine receptor interaction	TNFRSF18	1
Cytokine-cytokine receptor interaction	TNFRSF1A	1
Cytokine-cytokine receptor interaction	TNFRSF1B	1
Cytokine-cytokine receptor interaction	TNFRSF4	1
Cytokine-cytokine receptor interaction	TNFRSF8	1
Cytokine-cytokine receptor interaction	TNFSF12	1
Cytokine-cytokine receptor interaction	CXCL8	1
Cytokine-cytokine receptor interaction	OSM	1
Cytokine-cytokine receptor interaction	CXCL9	1
Cytokine-cytokine receptor interaction	OSMR	1
Cytokine-cytokine receptor interaction	EBI3	1
Cytokine-cytokine receptor interaction	CXCR4	1
Cytokine-cytokine receptor interaction	CD4	1
Cytokine-cytokine receptor interaction	CD40	1
Cytokine-cytokine receptor interaction	FAS	1
Cytokine-cytokine receptor interaction	IFNAR2	1
Cytokine-cytokine receptor interaction	RELT	1
Cytokine-cytokine receptor interaction	GDF15	1
Cytokine-cytokine receptor interaction	TGFB1	1
Cytokine-cytokine receptor interaction	IL10RA	1
Cytokine-cytokine receptor interaction	LTB	1
Cytokine-cytokine receptor interaction	CSF1	1
Cytokine-cytokine receptor interaction	IL12RB1	1
Cytokine-cytokine receptor interaction	CSF1R	1
Cytokine-cytokine receptor interaction	CSF2RA	1
Cytokine-cytokine receptor interaction	IL15	1
Cytokine-cytokine receptor interaction	CSF2RB	1
Cytokine-cytokine receptor interaction	CSF3R	1
Cytokine-cytokine receptor interaction	IL16	1
Cytokine-cytokine receptor interaction	IL1B	1
Cytokine-cytokine receptor interaction	IL1R1	1
Cytokine-cytokine receptor interaction	IL21R	1
Cytokine-cytokine receptor interaction	IL27RA	1
Cytokine-cytokine receptor interaction	IL2RA	1
Cytokine-cytokine receptor interaction	IL2RB	1
Cytokine-cytokine receptor interaction	CCL18	1
Cytokine-cytokine receptor interaction	CCL2	1
Cytokine-cytokine receptor interaction	CCL22	1
Cytokine-cytokine receptor interaction	IL6R	1
Cytokine-cytokine receptor interaction	CCL4	1
Cytokine-cytokine receptor interaction	CCL5	1
Cytokine-cytokine receptor interaction	IL7R	1
Cell adhesion molecules	TIGIT	1
Cell adhesion molecules	NTNG2	1
Cell adhesion molecules	CD2	1
Cell adhesion molecules	SIGLEC1	1
Cell adhesion molecules	CD28	1
Cell adhesion molecules	HLA-DMB	1
Cell adhesion molecules	VCAM1	1
Cell adhesion molecules	HLA-DOA	1
Cell adhesion molecules	HLA-DPA1	1
Cell adhesion molecules	SPN	1
Cell adhesion molecules	HLA-DPB1	1
Cell adhesion molecules	HLA-DQA1	1
Cell adhesion molecules	HLA-DQB1	1
Cell adhesion molecules	HLA-DRA	1
Cell adhesion molecules	PECAM1	1
Cell adhesion molecules	HLA-DRB1	1
Cell adhesion molecules	HLA-DRB5	1
Cell adhesion molecules	CD4	1
Cell adhesion molecules	CD40	1
Cell adhesion molecules	CD6	1
Cell adhesion molecules	CD86	1
Cell adhesion molecules	CD8A	1
Cell adhesion molecules	PTPRC	1
Cell adhesion molecules	ESAM	1
Cell adhesion molecules	ICAM1	1
Cell adhesion molecules	ICAM2	1
Cell adhesion molecules	ITGA4	1
Cell adhesion molecules	ITGAL	1
Cell adhesion molecules	ITGAM	1
Cell adhesion molecules	SELL	1
Cell adhesion molecules	SELPLG	1
Cell adhesion molecules	ITGB2	1
Cell adhesion molecules	ITGB7	1
Phagosome	CTSL	1
Phagosome	CTSS	1
Phagosome	CD14	1
Phagosome	CD209	1
Phagosome	MSR1	1
Phagosome	NCF1	1
Phagosome	NCF2	1
Phagosome	TLR2	1
Phagosome	NCF4	1
Phagosome	CD36	1
Phagosome	ATP6V1B2	1
Phagosome	CYBB	1
Phagosome	CORO1A	1
Phagosome	ITGA5	1
Phagosome	ITGAM	1
Phagosome	ITGB2	1
Phagosome	FCGR2A	1
Phagosome	FCGR3A	1
Phagosome	CLEC7A	1
Phagosome	HLA-DMB	1
Phagosome	HLA-DOA	1
Phagosome	HLA-DPA1	1
Phagosome	HLA-DPB1	1
Phagosome	HLA-DQA1	1
Phagosome	HLA-DQB1	1
Phagosome	HLA-DRA	1
Phagosome	HLA-DRB1	1
Phagosome	HLA-DRB5	1
Phagosome	MRC1	1
Phagosome	MRC2	1
Phagosome	C1R	1
Phagosome	RAB7B	1
Phagosome	C3	1
Phagosome	M6PR	1
Lysosome	CTSD	1
Lysosome	CTSK	1
Lysosome	CTSL	1
Lysosome	CTSS	1
Lysosome	GM2A	1
Lysosome	LITAF	1
Lysosome	NPC1	1
Lysosome	NPC2	1
Lysosome	PPT1	1
Lysosome	ACP2	1
Lysosome	ACP5	1
Lysosome	HEXA	1
Lysosome	TPP1	1
Lysosome	ARSB	1
Lysosome	LAPTM5	1
Lysosome	SLC11A1	1
Lysosome	PSAP	1
Lysosome	M6PR	1
Lysosome	NAGA	1
Lysosome	CTSB	1
Cell cycle	CUL1	1
Cell cycle	ORC2	1
Cell cycle	ORC3	1
Cell cycle	CHEK1	1
Cell cycle	WEE1	1
Cell cycle	RBL1	1
Cell cycle	ATR	1
Cell cycle	CDC25C	1
Cell cycle	PTTG1	1
Cell cycle	TTK	1
Cell cycle	BUB1	1
Cell cycle	BUB1B	1
Cell cycle	BUB3	1
Cell cycle	CDC7	1
Cell cycle	DBF4	1
Cell cycle	CDK1	1
Cell cycle	ANAPC4	1
Cell cycle	ANAPC7	1
Cell cycle	CDK2	1
Cell cycle	YWHAQ	1
Cell cycle	SKP2	1
Cell cycle	CCNA2	1
Cell cycle	CCNB1	1
Cell cycle	CCNE2	1
Cell cycle	MAD2L1	1
Oocyte meiosis	CDK1	1
Oocyte meiosis	ANAPC4	1
Oocyte meiosis	CUL1	1
Oocyte meiosis	ANAPC7	1
Oocyte meiosis	CDK2	1
Oocyte meiosis	YWHAQ	1
Oocyte meiosis	CDC25C	1
Oocyte meiosis	PTTG1	1
Oocyte meiosis	BUB1	1
Oocyte meiosis	CCNB1	1
Oocyte meiosis	CCNE2	1
Oocyte meiosis	FBXO5	1
Oocyte meiosis	MAD2L1	1
Apoptosis	CTSD	1
Apoptosis	CTSK	1
Apoptosis	CTSL	1
Apoptosis	CTSS	1
Apoptosis	GZMB	1
Apoptosis	TNFRSF1A	1
Apoptosis	FAS	1
Apoptosis	MAP3K14	1
Apoptosis	PRF1	1
Apoptosis	ITPR1	1
Apoptosis	TRAF1	1
Apoptosis	RELA	1
Apoptosis	NFKB1	1
Apoptosis	NFKBIA	1
Apoptosis	CSF2RB	1
Apoptosis	BCL2	1
Apoptosis	BCL2A1	1
Apoptosis	BCL2L11	1
Apoptosis	PIK3CD	1
Apoptosis	CTSB	1
Regulation of actin cytoskeleton	PDGFA	1
Regulation of actin cytoskeleton	PDGFB	1
Regulation of actin cytoskeleton	PDGFRB	1
Regulation of actin cytoskeleton	CXCL12	1
Regulation of actin cytoskeleton	MSN	1
Regulation of actin cytoskeleton	GNA12	1
Regulation of actin cytoskeleton	ITGA11	1
Regulation of actin cytoskeleton	ARHGEF1	1
Regulation of actin cytoskeleton	ITGA5	1
Regulation of actin cytoskeleton	ITGA7	1
Regulation of actin cytoskeleton	ITGAM	1
Regulation of actin cytoskeleton	ITGAX	1
Regulation of actin cytoskeleton	ITGB2	1
Regulation of actin cytoskeleton	ITGB3	1
Regulation of actin cytoskeleton	ITGB5	1
Regulation of actin cytoskeleton	ACTN1	1
Regulation of actin cytoskeleton	BAIAP2	1
Regulation of actin cytoskeleton	FGFR1	1
Regulation of actin cytoskeleton	MYH11	1
Regulation of actin cytoskeleton	MYL9	1
Regulation of actin cytoskeleton	MYLK	1
Regulation of actin cytoskeleton	BCAR1	1
Regulation of actin cytoskeleton	MRAS	1
Regulation of actin cytoskeleton	PIK3CD	1
Regulation of actin cytoskeleton	BDKRB1	1
Regulation of actin cytoskeleton	BDKRB2	1
Regulation of actin cytoskeleton	FN1	1
Regulation of actin cytoskeleton	PDGFRB	1
Regulation of actin cytoskeleton	MSN	1
Regulation of actin cytoskeleton	CXCR4	1
Regulation of actin cytoskeleton	NCKAP1L	1
Regulation of actin cytoskeleton	ITGA4	1
Regulation of actin cytoskeleton	ITGA5	1
Regulation of actin cytoskeleton	ITGAL	1
Regulation of actin cytoskeleton	ITGAM	1
Regulation of actin cytoskeleton	ITGAX	1
Regulation of actin cytoskeleton	ITGB2	1
Regulation of actin cytoskeleton	ITGB7	1
Regulation of actin cytoskeleton	ARHGEF6	1
Regulation of actin cytoskeleton	FGD3	1
Regulation of actin cytoskeleton	VAV1	1
Regulation of actin cytoskeleton	MRAS	1
Regulation of actin cytoskeleton	PIK3CD	1
Regulation of actin cytoskeleton	RAC2	1
Regulation of actin cytoskeleton	PIP4K2A	1
Hematopoietic cell lineage	CD14	1
Hematopoietic cell lineage	CD1D	1
Hematopoietic cell lineage	CD2	1
Hematopoietic cell lineage	HLA-DMB	1
Hematopoietic cell lineage	HLA-DOA	1
Hematopoietic cell lineage	HLA-DPA1	1
Hematopoietic cell lineage	HLA-DPB1	1
Hematopoietic cell lineage	CD33	1
Hematopoietic cell lineage	HLA-DQA1	1
Hematopoietic cell lineage	HLA-DQB1	1
Hematopoietic cell lineage	CD36	1
Hematopoietic cell lineage	HLA-DRA	1
Hematopoietic cell lineage	CD37	1
Hematopoietic cell lineage	HLA-DRB1	1
Hematopoietic cell lineage	CD3E	1
Hematopoietic cell lineage	HLA-DRB5	1
Hematopoietic cell lineage	CD4	1
Hematopoietic cell lineage	CD5	1
Hematopoietic cell lineage	CD7	1
Hematopoietic cell lineage	CSF1	1
Hematopoietic cell lineage	CSF1R	1
Hematopoietic cell lineage	CSF2RA	1
Hematopoietic cell lineage	CSF3R	1
Hematopoietic cell lineage	CD8A	1
Hematopoietic cell lineage	IL1B	1
Hematopoietic cell lineage	IL1R1	1
Hematopoietic cell lineage	IL2RA	1
Hematopoietic cell lineage	FLT3LG	1
Hematopoietic cell lineage	IL6R	1
Hematopoietic cell lineage	IL7R	1
Hematopoietic cell lineage	ITGA4	1
Hematopoietic cell lineage	ITGA5	1
Hematopoietic cell lineage	ITGAM	1
Complement and coagulation cascades	A2M	1
Complement and coagulation cascades	C1QA	1
Complement and coagulation cascades	C1QB	1
Complement and coagulation cascades	C1QC	1
Complement and coagulation cascades	C1R	1
Complement and coagulation cascades	C1S	1
Complement and coagulation cascades	C2	1
Complement and coagulation cascades	CFD	1
Complement and coagulation cascades	CFH	1
Complement and coagulation cascades	PLAU	1
Complement and coagulation cascades	THBD	1
Complement and coagulation cascades	C3	1
Complement and coagulation cascades	SERPINE1	1
Complement and coagulation cascades	C3AR1	1
Complement and coagulation cascades	SERPING1	1
Complement and coagulation cascades	F13A1	1
Complement and coagulation cascades	VSIG4	1
Complement and coagulation cascades	ITGAM	1
Complement and coagulation cascades	ITGAX	1
Complement and coagulation cascades	C5AR1	1
Complement and coagulation cascades	ITGB2	1
Platelet activation	APBB1IP	1
Platelet activation	FCER1G	1
Platelet activation	FCGR2A	1
Platelet activation	ITPR1	1
Platelet activation	FERMT3	1
Platelet activation	PLCB2	1
Platelet activation	PLCG2	1
Platelet activation	RASGRP2	1
Platelet activation	PTGIR	1
Platelet activation	P2RX1	1
Platelet activation	ADCY7	1
Platelet activation	PIK3CD	1
Platelet activation	PIK3R5	1
Platelet activation	PIK3R6	1
Platelet activation	BTK	1
Platelet activation	LCP2	1
