Ensembl_ID	TCGA-L5-A4OG-01A	TCGA-JY-A6FB-01A	TCGA-V5-A7RE-01A	TCGA-L5-A43E-01A	TCGA-LN-A49M-01A	TCGA-KH-A6WC-01A	TCGA-2H-A9GJ-01A	TCGA-L5-A893-01A	TCGA-LN-A7HV-01A	TCGA-L5-A4OH-01A	TCGA-IC-A6RF-01A	TCGA-JY-A93F-01A	TCGA-LN-A4A9-01A	TCGA-L5-A4OJ-01A	TCGA-LN-A5U7-01A
ABCC5	1.829008238	1.767712992	2.605003858	2.372018508	2.847864354	3.066587494	4.001172687	2.575692955	2.7708126	2.670592393	3.789512381	3.214084384	3.82492147	2.865819377	5.578250003
ABCC6	0.656313614	0.356600476	0.941948958	1.235127455	0.13418355	0.382469908	1.78496581	1.778308511	0.415675868	2.089427751	0.204349194	0.102748371	0.108410675	0.840339323	0.260261196
ABCC9	0.288176248	0.439239459	0.09967839	0.288321277	1.014250453	0.206272119	0.131481126	0.600919118	0.823958905	0.325792313	0.551804414	0.1573671	1.379163926	0.314332407	0.221564519
ABCD1	2.836226099	3.870724508	2.82749947	4.240306979	4.884492053	1.734789083	2.94471511	2.774608917	3.284417052	3.0607547	3.026804632	2.691976508	2.720336095	3.565981571	2.429359572
ABCD2	0.362073106	0.022886081	0.022386724	0.109059537	0.024843786	0.03667924	0.040957451	0.234939474	0.047566652	0.028298747	0.063089636	0.003305131	0.304586549	0.134538351	0.048190952
ABCD3	2.827928453	3.829106279	3.905232461	3.841938763	2.603984338	3.519913388	3.758058489	4.158238063	2.670214616	3.662511936	2.248466431	2.576388971	2.412510241	4.150787662	2.360817175
ABCD4	1.746187285	1.815955151	2.324933156	2.89275418	1.653072909	1.527475368	1.870885083	2.427599896	1.170036706	2.341002216	1.450500759	1.51683564	2.367713664	2.558454521	2.032236644
ABCE1	4.227127385	4.115942981	3.698204504	4.72607773	3.609425945	3.053397358	4.633595547	3.509647065	3.598619717	4.624962846	4.264571898	4.837743382	3.895987066	4.658004013	4.622155676
ABCF1	4.134368202	4.342945553	4.821885938	5.00522714	4.724956919	3.485762343	5.213080843	4.411944654	4.604453902	5.117295189	4.292426144	4.183737819	3.85470662	5.233030804	4.54967356
ABCF2	4.303601118	4.588456991	4.205925682	4.879773365	4.400769591	3.101590854	3.935865812	3.680201117	4.484962218	4.963673741	4.266038724	4.35724231	3.311963299	4.205954102	3.954124204
ABCF3	3.096752232	3.448952912	3.250549545	4.144906696	3.618043198	2.906514699	3.422444417	3.176549048	3.706302961	3.310757713	3.424279902	3.022818249	3.270852603	3.462790097	3.79119683
ABCG1	1.791698908	1.342472829	1.436841943	2.001868291	2.678637338	1.735495267	3.172421536	3.290034848	1.849420462	1.939097905	1.33582494	1.569538923	2.659886893	3.919591271	1.950808496
ABCG2	0.236835603	0.906440779	1.828010977	0.500590938	0.380419461	0.745762468	0.693806574	1.836738666	0.191204192	3.815552187	0.419984098	0.08674927	0.517118953	0.427174506	0.961803984
ABCG4	0.10580521	0.080873771	0.041477854	0.014752133	0.089401947	0.753693674	0.032687486	0.185307318	0.093137861	0.129080982	0.727585264	0.669850644	0.133242955	0.030533799	0.065210179
ABHD1	0.161043075	0.064578465	0.088424552	0.093315354	0.026759802	0.035315293	0.236912347	0.107794341	0.072604605	0.386167747	0.084370765	0.017723125	0.091564015	0.13415321	0.081077554
ABHD10	3.528209244	3.332204846	3.271134102	3.048044544	3.073934976	2.157010587	3.073266797	3.080086537	3.030110639	3.117613879	2.563452975	3.004214071	3.152897308	4.287731845	3.433585364
ABHD11	4.302465877	4.293688965	4.341925866	4.276585611	2.150980531	2.243142926	4.690966177	4.233042853	2.590776766	6.797566641	3.376444301	3.003468332	2.406024753	4.50653375	2.929998963
ABHD12	4.253083352	4.537077379	4.826915094	4.81194355	2.848553188	4.379327424	4.168326034	4.539761338	4.518947277	3.71007177	4.483927072	3.646654187	3.6008703	4.195526865	3.982552279
ABHD13	3.09595051	2.202166421	2.565171021	3.670314514	2.674245591	1.80547908	2.097577049	2.404503714	1.477737876	2.491582333	2.160090258	2.783639505	2.373955936	2.295323605	3.235640269
ABHD14A	1.411262974	2.337120396	3.245884262	2.346879787	1.589461853	1.006041948	2.002325169	2.407320264	2.664176098	1.288044099	1.789754657	2.208499797	1.492845587	1.864289685	1.042553931
ABHD14B	3.588523401	4.309928515	4.491514815	4.789186009	2.86793602	3.795124426	4.285066059	4.832024007	3.791032404	3.808811163	4.666664296	4.286632471	2.882001696	3.97178891	2.857609958
ABHD15	2.160487338	3.733896078	3.743909132	2.927957682	3.034611517	1.975357406	3.417520929	2.703583846	3.368856648	2.761142262	2.68716989	1.903180996	2.482584418	2.988346055	2.938435847
ABHD16A	0.889235621	1.132164442	1.350670041	1.880398693	1.051227579	0.78098353	1.551879705	1.658130789	1.255919571	1.717457394	0.958131826	0.747322327	1.377955095	1.106981115	0.917498712
ABHD17A	3.209581588	3.302644121	3.057540672	2.798910598	3.234473045	3.208216762	2.821838696	3.509659486	2.909839538	2.888987451	3.631040084	3.599208355	3.620947175	3.317647841	3.205635585
ABHD17B	3.35082657	3.118636172	2.567713334	2.807988153	2.476692459	3.318517599	2.547057604	3.094099203	3.178048961	3.077875606	3.150631431	3.267653557	3.446205036	3.074169085	2.805809777
ABHD17C	5.004085115	5.284733369	5.051410953	5.447152941	3.73356021	4.111708993	5.074275498	5.167275197	4.32815567	4.523557393	4.37270468	5.530125212	3.153769052	5.885823069	2.723614607
ABHD2	4.989638251	5.888628769	5.883033538	6.589145009	3.365404267	3.099399383	6.006701327	5.868435014	3.229965034	4.540573781	3.75513616	3.107293093	2.810468699	6.379644606	4.71112447
ABHD3	4.357580401	4.238113151	4.291619782	3.653690223	3.83412612	2.800745143	4.51185935	3.464661011	3.013971221	3.265741276	2.19928339	1.782973668	3.866762226	3.806636046	4.307405244
ABHD4	2.991706824	2.895764229	3.653722002	3.754647711	3.234172624	4.515746995	3.110763141	3.242284564	3.299240027	4.512491915	3.735906504	2.575334516	3.217691135	3.403078348	4.294365589
ABHD5	2.22924186	2.364797772	2.769000819	2.270250823	3.246166951	4.229312706	2.84858185	2.8332996	2.131184955	2.067336696	4.77907646	4.312002741	3.141886833	2.450780103	2.503981632
ABHD6	1.697634521	2.754769303	2.84334689	1.882277602	2.318481505	1.804690605	1.952173144	2.52722135	2.434839187	1.836221979	1.675747152	1.228618839	2.729152032	1.596939806	2.61519073
ABHD8	2.986873472	2.224268935	2.516795797	2.288253716	2.357052315	2.125708306	1.95305664	2.704926045	2.879604673	2.284505001	2.662391858	1.084051811	2.449286699	2.396494101	2.447788387
ABI1	4.034387177	4.308702028	4.028487629	4.455703604	4.938244551	4.863971268	4.627660958	4.457860207	4.922147556	4.820278239	5.301649675	5.369486084	4.349631376	4.597811917	4.428815162
ABI2	1.947174764	1.467068585	1.829311179	1.384354559	1.033353454	0.704399164	1.740098105	1.337686463	0.644044617	1.813644611	1.403723029	0.863364382	1.435175575	1.495916118	2.459640815
ABI3	2.397929179	2.366738371	1.50438655	1.551626199	1.093427861	1.503829801	0.949583795	2.733694485	1.77157916	1.37474996	2.013308641	0.493422716	2.84323787	1.646170908	1.475072307
ABI3BP	0.800472194	0.161070893	0.082526195	0.53694514	0.262277714	0.576486751	0.728309789	1.794093486	0.431131078	0.924934428	1.142456013	0.094600864	1.944669852	0.385792624	0.268060083
ABL1	4.397108847	4.774346998	3.936022056	4.201062285	4.378904844	3.475407371	4.332300307	4.629689373	4.497738988	4.563795032	4.116268302	4.390098754	4.465638971	4.106510827	4.675766631
ABL2	2.495222759	2.228584331	1.972357671	2.232003684	2.764072253	0.887438123	2.225724462	1.964581056	1.924587415	2.73302499	2.448670684	2.495589413	3.37450903	2.184292053	2.630803996
ABLIM1	5.498228935	5.947580231	4.434636481	5.994372951	3.963688393	7.078239021	6.281902562	5.890875598	3.028822393	4.553529891	6.850559691	7.009851321	4.467479813	6.031147966	2.957851991
ABLIM2	1.082411877	0.687161165	1.436928639	1.434389746	1.445280108	2.819309762	1.323440865	1.679623791	2.298937276	2.710643913	0.314907304	0.64860844	1.13443657	2.454004205	1.625336376
ABLIM3	2.508263171	1.953555728	2.757443476	0.532105136	1.195168383	5.031647194	0.861676121	2.217944289	0.673881432	1.48031179	0.796186676	2.339560862	2.766379007	1.765546065	2.452380771
ABO	2.380944203	1.905038012	2.251397954	4.588714166	3.385258206	3.466522988	0.53086141	3.064379964	0.841691119	2.389426533	0.116514019	0.156832182	1.771393382	4.541809297	2.585471965
ABR	4.191304634	4.199830842	4.260907802	4.02361362	3.487372517	4.980460425	3.787429506	4.468623172	2.121745321	4.265073213	3.727328999	3.112757597	3.369434295	4.616432287	3.992935301
ABRACL	5.043449497	4.939440713	5.297548235	5.003459209	4.686455577	3.377004393	4.465110466	4.571735832	6.012094981	4.855420371	4.807021496	3.712980628	3.789039866	3.432429	3.835952783
ABT1	2.925488206	2.845077904	3.900205489	3.936918674	3.507435105	2.70591288	2.100738519	3.253205489	3.606768622	3.204716426	3.567317768	3.540956382	2.751129645	3.348806806	2.58207412
ABTB1	3.39144169	2.253818825	2.721648015	2.23782003	1.491304985	1.278315834	3.667958234	2.721897295	1.861157703	2.273486275	2.569789199	1.973453652	3.059641706	3.739721497	1.986772524
ABTB2	3.091289107	3.117603494	3.14830469	3.879193567	1.57028023	3.08363813	2.686494895	3.401592183	1.576382652	4.666545569	0.472827498	0.704926152	2.439060103	2.974701702	1.69612104
ACAA1	2.454091112	2.624222827	3.124951014	2.622719064	2.988455532	3.139921607	2.985747695	3.126017037	1.943317254	2.437840707	2.452009818	2.777154954	1.830604259	2.003582822	1.515878155
ACAA2	3.361348399	6.312322451	4.963531615	5.338038018	1.7358079	1.743335896	3.311398665	3.91531935	2.739294487	3.562547929	3.12654598	0.570641492	3.006271648	4.859515273	0.96499856
ACACA	3.438269578	3.649823797	3.180248801	3.341799428	3.642295271	3.516205842	3.837779991	3.090966301	4.251163755	3.042521033	3.794895653	3.340894095	2.540051957	2.607401964	3.837133702
ACACB	1.49413329	1.48584398	1.053849908	1.412913829	0.356281057	0.53691968	2.179081006	1.48211413	0.761320394	0.89617497	0.988720489	0.086975623	0.810747339	1.233269038	0.62842812
ACAD10	2.024255642	2.462585968	2.305029702	2.779719	1.88396594	1.622281382	1.887737136	2.286782982	2.068384833	1.65073569	1.922866916	1.733125461	2.623708762	1.985057065	2.42235201
ACAD11	0.125796176	0.124452598	0.084302026	0.076592545	0.233500157	0.144242301	0.158443118	0.076232789	0.201685349	0.083913311	0.223927246	0.148513362	0.492574521	0.116120536	0.168417131
