Ensembl_ID	TCGA-BR-8680-01A	TCGA-IN-A7NR-01A	TCGA-CG-4440-01A	TCGA-R5-A7ZI-01A	TCGA-CG-4462-01A	TCGA-R5-A7O7-01A	TCGA-VQ-A8DZ-01A	TCGA-CG-5719-01A	TCGA-VQ-A8PQ-01A	TCGA-IN-7808-01A	TCGA-D7-A748-01A	TCGA-CG-4460-01A	TCGA-CG-4306-01A	TCGA-VQ-A8PJ-01A	TCGA-R5-A7ZF-01A	TCGA-CG-5724-01A	TCGA-CG-4465-01A	TCGA-BR-7957-01A	TCGA-BR-7196-01A	TCGA-CG-4301-01A	TCGA-CG-5722-01A	TCGA-BR-8289-01A	TCGA-CG-5716-01A	TCGA-CD-8529-01A
TTLL11	1.256829485	0.775631771	1.394228974	1.169928853	1.334084751	0.716317386	1.074842417	1.177457131	1.383578988	1.193267009	0.760738652	0.894124934	0.905986109	0.987587651	0.718464019	1.382893037	0.789725269	1.853977543	1.396083275	0.687738481	1.339813937	2.065211766	1.457718142	1.568344185
TTLL12	5.223402838	5.104045699	5.638202846	4.71333296	4.346684456	4.322444567	4.643573666	5.174157447	3.750963649	3.908786598	3.937446888	3.704080887	4.402433082	5.589047138	4.639955488	4.79833035	4.64139341	4.987937714	4.237892458	4.008250773	4.337749611	4.677979391	5.738496595	5.003265591
TTLL3	1.630830084	0.988758575	0.864746753	0.585538503	1.337843522	0.612665232	1.404780362	0.727716776	2.115009532	1.918310347	0.800465994	1.159206328	1.301396505	0.84249964	0.708278229	0.276905669	0.654502233	1.31184563	1.076348549	1.171474083	0.769547492	0.916414555	0.47731598	1.098648251
TTLL4	2.574023559	2.841688907	3.110589921	1.80748685	2.445526967	2.900962359	2.772106873	2.030390975	2.484842847	1.982874233	1.934294855	2.992527253	2.905742311	2.826395127	3.355041215	2.988626084	3.050258327	2.760393408	2.518931392	2.487518252	3.57908878	2.398790243	2.623374813	2.341116767
TTLL5	2.364764018	2.096051938	2.704785758	1.032282675	1.994219581	1.903550893	1.712271328	1.733643824	1.688264453	1.866927411	1.446906116	2.24819906	2.159359598	1.889939297	2.570846048	2.056169895	1.824538057	2.342455556	2.103337445	1.978290377	1.750572232	1.913670217	1.444701216	1.783359758
TTLL7	0.108951283	1.048012326	0.520787252	0.152027656	0.72183258	0.587882114	0.749263171	0.533573057	0.612326369	1.184001544	0.343272764	0.961290023	0.230905124	0.280917429	0.873213044	0.117617827	0.193354243	1.39025685	1.396595393	0.836444881	0.235049999	1.052417728	0.608406429	0.698960197
TTN	0.107798176	0.089761105	0.107648738	0.085186695	0.105828453	0.055657589	0.073763842	0.058498236	0.527722004	0.41508991	0.040213967	0.177292669	0.114891829	0.196495544	0.059744588	0.052082888	0.095438101	0.07962438	0.119780367	0.173266925	0.056542531	0.07831448	0.057600165	0.087458225
TTPAL	2.40267008	1.829019176	2.179133072	1.510285157	1.847698312	2.15449994	1.802585867	1.541470096	2.445670177	2.265399641	1.361760783	2.297957375	2.233116341	2.371600176	2.810982554	1.847913611	2.133842985	2.169577482	2.167309212	2.237163525	1.822334296	3.187067063	1.522560506	2.395809958
TTYH1	0.439052948	0.324794893	0.34986479	0.124312265	0.24411238	0.224593421	0.284830898	0.427588465	0.903903495	0.78771612	0.121377994	0.075042738	0.04992546	0.553234556	1.56568057	0.448474715	0.117929566	0.390748734	0.438634489	0.174684868	0.387974028	0.224726545	0.087938006	2.260698548
TTYH2	0.111045807	0.603410064	0.907672322	0.451490652	2.338263744	1.525786804	0.864232014	1.522855158	2.46855195	2.092066648	1.638160234	1.889860256	0.889477878	1.611911877	1.604348307	0.984971427	0.781498743	2.174518584	2.521850047	1.027367999	5.478976866	1.901356033	0.904517522	1.699568862
TTYH3	5.367902092	4.360760308	5.51898854	4.403985366	5.249336038	5.110254231	6.755356115	5.679308632	5.267184908	5.091047558	5.078008797	3.888513754	4.270275111	4.989060298	4.591120243	5.233022285	4.417623095	5.410670013	4.872860027	4.747704636	4.617333569	5.452175322	4.440345985	6.110525726
TUB	0.096125671	0.542094953	0.454194757	0.553969615	1.390662251	0.133050578	0.270241787	0.658120893	1.493114184	0.806365185	0.590334496	1.593936163	0.435965272	0.765338862	0.13506991	0.241432238	0.352773429	1.625555513	0.831002273	0.550517834	0.322122021	1.042782459	0.429692652	0.711267391
TUBA1A	4.436328237	4.468167441	3.475593284	3.868052437	5.729261592	4.278997947	3.922937512	5.942862773	4.87285023	4.698972295	5.678991125	4.408236724	4.266895028	3.136471323	5.087860739	4.298443061	4.03023774	6.404218803	5.363424325	4.743095603	4.315401748	5.225435823	3.884042592	5.532209663
TUBA1B	6.919372901	6.977682032	7.568261044	7.273180268	6.700340472	6.402315735	6.406242895	6.901199657	5.609148557	6.731088276	6.590993846	7.362644424	7.257274496	6.070610682	7.898745876	8.010995644	7.332744549	6.421283855	7.212794028	6.08965901	7.614223432	6.593309654	7.643629071	6.887633729
