Ensembl_ID	TCGA-L5-A4OI-01A	TCGA-L7-A6VZ-01A	TCGA-JY-A93D-01A	TCGA-VR-A8EX-01A	TCGA-L5-A8NF-01A	TCGA-L5-A8NH-01A	TCGA-L5-A4OT-01A	TCGA-2H-A9GO-01A	TCGA-VR-A8EU-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A5U5-01A	TCGA-L5-A4OO-01A
LMF2	5.475165031	4.007021649	4.386290264	5.409355255	4.258876074	4.760129753	3.929115493	4.137278929	5.60980825	4.887727576	5.51684683	5.19428306
LMLN	1.539267633	1.726935207	1.345498206	1.139867576	2.064511522	1.287650302	1.272303901	2.338411024	2.535442432	2.084505256	2.566499464	2.061433273
LMNA	7.625474072	6.323903943	5.597911441	6.651352858	5.856621069	6.762086588	5.738546128	5.426769013	6.537223207	6.130647088	6.011297323	6.101395163
LMNB1	4.444802652	4.229466911	3.241464688	3.832422363	4.782281021	4.131305002	3.14748151	2.628598811	4.274730513	4.464725938	4.613187756	3.621153221
LMNB2	5.171962966	5.205695578	4.030383051	5.091345505	4.114973783	4.830039951	4.140600402	4.133209829	5.529456237	5.651932852	4.031881279	3.460313135
LMNTD2	1.305357309	1.956035722	0.808738836	1.160884141	2.036037287	0.955272548	0.999469294	2.218787163	0.837596878	0.915614521	1.015018182	1.736829377
LMO2	0.649866175	1.511453495	2.665970069	3.132257333	1.501202167	1.550190586	2.852444844	1.261308612	1.426172795	1.710551926	2.298095026	2.313287804
LMO3	0.205797645	0.059289988	1.083391137	0.353020163	0.24353496	0.217450914	0.724776334	0.088214016	0.511061823	0.108395768	1.026325156	0.709850908
LMO4	3.028940271	3.468612205	4.082220128	4.087900204	3.520240868	3.399241492	3.418673277	3.540437434	2.337734404	3.857454232	4.767720307	5.66130955
LMO7	5.247564249	4.023871263	3.892361507	4.038645533	4.367665747	3.472296157	3.963638596	2.876276848	2.163628536	1.738033505	2.540714257	3.508257055
LMOD1	1.36834322	0.851087685	4.744048254	1.026067498	2.4144384	1.209237473	3.340097629	0.988534792	2.10352869	2.259178155	2.306730852	4.059816621
LMTK2	4.320308148	4.78843583	3.357429253	3.391108769	5.471642912	5.619160992	4.550322525	4.426218881	4.024316085	2.484796189	3.058237806	3.326754626
LMTK3	1.655440917	1.106419493	1.41206513	2.296345413	0.169353964	0.422693828	0.900717916	1.589118341	1.957063101	1.555075928	1.154196555	0.986879995
LNP1	0.080975532	1.15562997	0.977110941	0.826962197	1.136525804	0.915962189	0.949465667	1.693748051	1.312555066	0.833963537	0.610892316	0.821880122
LNPEP	2.788929566	2.71249695	3.600528263	2.418075495	2.724402652	2.435243771	2.743190818	1.74826426	2.498245365	2.19209324	2.726630729	2.7818127
LNX1	1.558164068	1.720675192	1.787292098	2.274545467	2.368960209	1.655921888	2.078460508	1.014250335	0.893770299	1.451241553	1.365235697	1.185730812
